Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.9451961,0.8938594,0.9833782,0.9454284,0.893176,0.9832503
All Races,5 Years,0.8777578,0.8280239,0.9214834,0.8863136,0.8369511,0.9286573
Black or African American,2 Years,0.9013679,0.7898679,0.9917218,0.9018884,0.7823353,0.9159837
Black or African American,5 Years,0.8438388,0.7667718,0.9197325,0.8474279,0.7701935,0.9193459
White,2 Years,0.9709599,0.9354208,0.9942478,0.9709285,0.9360471,0.9947478
White,5 Years,0.929724,0.8884423,0.9650894,0.9385887,0.900662,0.9705489
Asian,2 Years,1.0,1.0,1.0,1.0,1.0,1.0
Asian,5 Years,0.6852647,0.5195273,1.0,0.7376543,0.4061766,1.0
