Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.895658,0.6929765,0.9396999,0.8911466,0.6815315,0.9918497
All Races,5 Years,0.8869804,0.7550843,0.9566664,0.87306,0.7395713,0.9684215
Black or African American,2 Years,0.8586466,0.5504312,0.9888466,0.8544699,0.5323444,0.997577
Black or African American,5 Years,0.8285084,0.6483283,0.9729822,0.8332243,0.6388923,0.9810199
White,2 Years,0.9744165,0.9338133,0.9956141,0.9704758,0.9346614,0.9945918
White,5 Years,0.9385124,0.9009061,0.9705534,0.9544554,0.9251273,0.9747497
Asian,2 Years,NA,NA,NA,NA,NA,NA
Asian,5 Years,NA,NA,NA,NA,NA,NA
