Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8012745,0.7170344,0.8770071,0.8056435,0.7218469,0.8807655
All Races,5 Years,0.8336895,0.7852369,0.8770489,0.8382331,0.7890565,0.88221
Black or African American,2 Years,0.6893424,0.585282,0.7813659,0.696685,0.6002196,0.7820369
Black or African American,5 Years,0.7341706,0.6627149,0.8002146,0.7210422,0.6542192,0.7848233
White,2 Years,0.7688859,0.6174175,0.8989348,0.7725919,0.6216855,0.9036738
White,5 Years,0.8131802,0.7334865,0.8814614,0.8212575,0.7391397,0.8916421
Asian,2 Years,0.7,0.4666667,1.0,0.6725564,0.4701769,1.0
Asian,5 Years,0.7833333,0.5139702,0.9803922,0.7352941,0.5094507,0.9677419
