Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8256991,0.7977239,0.8514509,0.79628,0.7720418,0.8185504
All Races,5 Years,0.8022705,0.7724667,0.8286333,0.7800244,0.7567295,0.8078205
Black or African American,2 Years,0.8303162,0.7868034,0.8709464,0.7956534,0.761234,0.8274956
Black or African American,5 Years,0.7945267,0.7418486,0.8413063,0.7729973,0.740174,0.8025911
White,2 Years,0.807997,0.7681116,0.8480584,0.7838463,0.750488,0.8164605
White,5 Years,0.7885539,0.7459919,0.8256258,0.7711476,0.7395682,0.8039463
Asian,2 Years,0.8367347,0.6783144,0.9621328,0.7923628,0.665732,0.9098773
Asian,5 Years,0.8286713,0.6667561,0.956701,0.791691,0.6520657,0.8974735
