Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.9040637,0.7156462,0.9363654,0.8996316,0.7042321,0.9292987
All Races,5 Years,0.8787265,0.7748,0.9594592,0.8080208,0.7626572,0.9678837
Black or African American,2 Years,0.8617074,0.575187,0.9991197,0.8643451,0.5625376,0.9979702
Black or African American,5 Years,0.8380794,0.6649375,0.9366333,0.8314726,0.6153437,0.9598333
White,2 Years,0.9753785,0.9462368,0.9974739,0.9775736,0.9444782,0.9955053
White,5 Years,0.9434711,0.9068942,0.9731418,0.9568832,0.9269589,0.9872271
Asian,2 Years,NA,NA,NA,NA,NA,NA
Asian,5 Years,NA,NA,NA,NA,NA,NA
