Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.708961,0.6346274,0.7864789,0.7096386,0.6366643,0.7865249
All Races,5 Years,0.6875087,0.6405833,0.7371282,0.6853133,0.636895,0.7369443
Black or African American,2 Years,0.7844266,0.6448825,0.8997783,0.7860777,0.6441665,0.9019481
Black or African American,5 Years,0.7715363,0.6984691,0.84102,0.7670593,0.6933938,0.8366898
White,2 Years,0.67296,0.5634843,0.7628119,0.6737186,0.5636517,0.7624534
White,5 Years,0.6561473,0.587214,0.7188984,0.6561173,0.5871876,0.7175895
Asian,2 Years,0.9086672,0.8027338,0.9889021,0.9018955,0.8009528,0.9864924
Asian,5 Years,0.7956397,0.6063568,0.9327803,0.798039,0.4858063,0.929987
