Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8498147,0.772847,0.9112878,0.852609,0.7806542,0.9141884
All Races,5 Years,0.8273715,0.7811428,0.8700763,0.841732,0.7935582,0.8837467
Black or African American,2 Years,0.8722719,0.8069192,0.9252818,0.8763639,0.8165719,0.9275706
Black or African American,5 Years,0.8098275,0.7366286,0.87258,0.8291592,0.76633,0.8832173
White,2 Years,0.8313221,0.7056419,0.9332788,0.8344484,0.7067644,0.9383787
White,5 Years,0.8305627,0.7617945,0.8914953,0.8451929,0.7723041,0.9065942
Asian,2 Years,0.6126126,0.4444444,0.974359,0.7923628,0.4381677,1.0
Asian,5 Years,0.72,0.4861111,0.972973,0.791691,0.4570399,0.9776894
