Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.7208208,0.6384885,0.792101,0.7207843,0.6389321,0.7910936
All Races,5 Years,0.7060601,0.6572551,0.752501,0.7024068,0.6526003,0.7491417
Black or African American,2 Years,0.7718689,0.6217701,0.8926635,0.7774293,0.6240383,0.8941097
Black or African American,5 Years,0.7698258,0.6981631,0.8402571,0.7645566,0.6891525,0.8375317
White,2 Years,0.7003351,0.6036691,0.7935044,0.6997432,0.5999329,0.7937113
White,5 Years,0.6876076,0.6289202,0.7481803,0.6856772,0.6232084,0.7457269
Asian,2 Years,0.8813963,0.7399732,0.9784926,0.8734912,0.2107911,0.9747168
Asian,5 Years,0.7908721,0.6187621,0.926692,0.7849668,0.3491301,0.9242203
