Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.9382401,0.8841779,0.9810571,0.9390968,0.8862201,0.9811151
All Races,5 Years,0.861788,0.8057911,0.9113527,0.8727982,0.8198501,0.9280605
Black or African American,2 Years,0.9013663,0.784844,0.98917,0.9018844,0.7832256,0.9183364
Black or African American,5 Years,0.8429719,0.763658,0.9140216,0.8467781,0.7647163,0.9183343
White,2 Years,0.9706098,0.9334963,0.9934621,0.9707528,0.9343115,0.9957467
White,5 Years,0.9288994,0.8874472,0.9650889,0.9379418,0.9001648,0.970187
Asian,2 Years,1.0,1.0,1.0,1.0,1.0,1.0
Asian,5 Years,0.6852647,0.5195652,1.0,0.7376543,0.4063018,1.0
