Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8078198,0.7780659,0.8362534,0.7796862,0.7551649,0.8024935
All Races,5 Years,0.7949132,0.7659543,0.8247279,0.7681993,0.7455135,0.7913577
Black or African American,2 Years,0.7262449,0.6559228,0.7872762,0.7027738,0.6544281,0.7472212
Black or African American,5 Years,0.7109915,0.6511291,0.7734206,0.6894975,0.6500784,0.7317082
White,2 Years,0.8115174,0.7732706,0.8510242,0.7913657,0.7588726,0.8256787
White,5 Years,0.7943048,0.7496861,0.8324512,0.7798576,0.744875,0.80931
Asian,2 Years,0.8711485,0.744042,0.9723608,0.8242678,0.7167957,0.9201174
Asian,5 Years,0.8664773,0.7198769,0.9697105,0.8234086,0.7049007,0.9180599
