Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.7265142,0.6512183,0.7981832,0.7258535,0.6504476,0.7977348
All Races,5 Years,0.7130175,0.6694408,0.7605991,0.7095078,0.6642835,0.7571331
Black or African American,2 Years,0.7547176,0.407005,0.8556195,0.7568844,0.6566004,0.8557316
Black or African American,5 Years,0.7524642,0.6777678,0.8306775,0.7467162,0.6663046,0.8290465
White,2 Years,0.7078757,0.6183691,0.7978099,0.707269,0.6186667,0.7971388
White,5 Years,0.6883824,0.6266669,0.7455478,0.7150332,0.6936846,0.8143458
Asian,2 Years,0.8848204,0.7439842,0.9777481,0.8772452,0.1826232,0.9756046
Asian,5 Years,0.7936437,0.6063593,0.9359529,0.7892703,0.259102,0.9327616
