Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.9422757,0.89787,0.9838188,0.9429872,0.8903668,0.9832803
All Races,5 Years,0.8650886,0.817856,0.9133387,0.8759756,0.8248079,0.9218116
Black or African American,2 Years,0.9114731,0.8102601,0.98845,0.9111234,0.8058698,0.9876671
Black or African American,5 Years,0.84894,0.764558,0.9148381,0.8503629,0.7799216,0.9148483
White,2 Years,0.9730554,0.938962,0.9947083,0.9730741,0.9393953,0.9974784
White,5 Years,0.9332568,0.892643,0.9669036,0.9415422,0.9048039,0.9718125
Asian,2 Years,1.0,1.0,1.0,1.0,1.0,1.0
Asian,5 Years,0.6938484,0.5317684,1.0,0.7469136,0.4035396,1.0
