Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8418409,0.8182296,0.866911,0.8133011,0.7940475,0.8348017
All Races,5 Years,0.8272901,0.8014489,0.8529181,0.8006516,0.7781427,0.8224957
Black or African American,2 Years,0.7772711,0.7219959,0.8259871,0.7437561,0.701905,0.7832441
Black or African American,5 Years,0.7559236,0.7025646,0.8124448,0.7280158,0.6896557,0.7649284
White,2 Years,0.8416402,0.8074648,0.8714803,0.8221846,0.7933157,0.8503074
White,5 Years,0.824663,0.7924793,0.8605973,0.8099793,0.7817082,0.8387628
Asian,2 Years,0.8655462,0.7291319,0.9748048,0.8179909,0.7082415,0.9096983
Asian,5 Years,0.8607955,0.708645,0.9722222,0.8172485,0.7010115,0.9150684
