Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.9010264,0.707129,0.9942469,0.8970637,0.6955646,0.9930486
All Races,5 Years,0.8343795,0.7817767,0.9602317,0.8864459,0.7639092,0.9714205
Black or African American,2 Years,0.8586466,0.5488016,1.0,0.8544699,0.532491,0.997577
Black or African American,5 Years,0.8301627,0.6373225,0.9733045,0.8335513,0.6265258,0.9803807
White,2 Years,0.9744165,0.9357143,0.9946429,0.9755733,0.9374443,0.9950032
White,5 Years,0.9391736,0.900826,0.9714635,0.9554455,0.9238501,0.9777399
Asian,2 Years,NA,NA,NA,NA,NA,NA
Asian,5 Years,NA,NA,NA,NA,NA,NA
