Race,Time_Horizon,AUC,AUC_Lower_CI,AUC_Upper_CI,Harrell_C_Statistic,C_Stat_Lower_CI,C_Stat_Upper_CI
All Races,2 Years,0.8422462,0.7742015,0.9009347,0.8444762,0.7768549,0.9031217
All Races,5 Years,0.8408215,0.7962202,0.8820785,0.8494063,0.8065588,0.8902317
Black or African American,2 Years,0.7608667,0.6767473,0.8336347,0.7696141,0.6919454,0.8373911
Black or African American,5 Years,0.7528817,0.6824665,0.8175942,0.7604685,0.6981576,0.8168504
White,2 Years,0.8304252,0.7042651,0.9406328,0.8309016,0.7034928,0.9436233
White,5 Years,0.8364569,0.7660937,0.8982743,0.8476567,0.7799446,0.9085636
Asian,2 Years,0.6866667,0.4795493,1.0,0.6491228,0.4710569,1.0
Asian,5 Years,0.7875,0.5133333,1.0,0.7278107,0.5024077,0.9826149
